reproductiveCondition,occurrenceStatus,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,higherGeography,continent,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,georeferencedDate,dateIdentified,elevation,elevationAccuracy,hasCoordinate,hasGeospatialIssues
,PRESENT,1974-07-04,,185.0,185.0,1974.0,7.0,4.0,7/4/1974,Aspect: 190. Slope: 10.,"U.S.A., Idaho, Valley County",,US,Idaho,Valley,,Payette N.F.  Approx. 1 mi. S of Lick Cr. Summitt.  Veg type:  Abies lasiocarpa/Xerophyllum tenax,,6000 ft.,,,,,,,,1829.0,,False,True
flowers,PRESENT,1974-06-25,,176.0,176.0,1974.0,6.0,25.0,,Slope: 30% ; Exposure: 350 deg. ; Vegetation type: Abies Grandis/Vaccinium globulare.,"U.S.A., Oregon, Wallowa County",,US,Oregon,Wallowa,,Wallowa-Whitman. ; Near Duck Lake ; Willamette Prime Meridian,,5950 ft.,,,,,,,1974-01-01T00:00:00,1814.0,,False,True
fruits,PRESENT,1972-07-27,,209.0,209.0,1972.0,7.0,27.0,,"8% slope. North exposure. Abies lasiocarpa/Clintonia uniflora H. T. community. Associated with Menziesia ferruginea, Thalictrum occidentale, Spiraea pyramidata, Bromus vulgaris, Linnea borealis.","U.S.A., Idaho, Valley County",,US,Idaho,Valley,,Boise N. F. Upper Big Creek. H. T. Plot 90K.,,5520 ft.,,,,,,,,1683.0,,False,True
vegetative,PRESENT,1972-07-26,,208.0,208.0,1972.0,7.0,26.0,,"17% slope. North exposure. Abies grandis/Spiraea betulifolia H. T. community. Associated with Lonicera utahensis, Chimaphila umbellata, Thalictrum occidentale, Pyrola picta.","U.S.A., Idaho, Valley County",,US,Idaho,Valley,,Boise N. F. Snowbank Mtn. road. H. T. Plot 125.,,5740 ft.,,,,,,,,1750.0,,False,True
fertile,PRESENT,1974-07-04,,185.0,185.0,1974.0,7.0,4.0,,Slope: 30%; Exposure: 180 deg.; Vegetation type: Abies lasiocarpa/Xerophyllum tenax,"U.S.A., Idaho, Valley County",,US,Idaho,Valley,,1/4 mile South of Lick Cr. Summit,,6680 ft.,,,,,,,1975-01-01T00:00:00,2037.0,,False,True
flowers,PRESENT,1979-06-02,,153.0,153.0,1979.0,6.0,2.0,,Slope: 20% ; Exposure: South ; Vegetation type: Abies lasiocarpa/Clintonia uniflora ; Associated plants: Xerophyllum tenax,"U.S.A., Idaho, Kootenai County",,US,Idaho,Kootenai,,Huckleberry Mtn. Coeur d'Alene National Forest,,4750 ft.,,,,,,,1979-01-01T00:00:00,1448.0,,False,True
,PRESENT,1974-07-04,,185.0,185.0,1974.0,7.0,4.0,7/4/1974,Aspect: 180. Slope: 30.,"U.S.A., Idaho, Valley County",,US,Idaho,Valley,,Payette N.F.  0.25 miles south of Lick Cr. Summit.  Veg type:  Abies lasiocarpa/Xerophyllum tenax,,6680 ft.,,,,,,,,2037.0,,False,True
,PRESENT,1972-07-26,,208.0,208.0,1972.0,7.0,26.0,7/26/1972,Aspect: N. Slope: 17.,"U.S.A., Idaho, Valley County",,US,Idaho,Valley,,"Boise N.F.  Snowbank Mtn. Rd.  Veg type:  Abies grandis/Spirea betufolia.  Assoc plants:  Lonicera utahensis, Chimaphila umbellata, Thalictrum occidentale, Pyrola picta",,5740 ft.,,,,,,,,1750.0,,False,True
fruits,PRESENT,1965-06-16,,167.0,167.0,1965.0,6.0,16.0,,Moist forested slope.,"U.S.A., Idaho, Teton County",,US,Idaho,Teton,,5 miles west of Victor.,,7000 ft.,,,,,,,,2134.0,,False,False
flowers,PRESENT,1970-06-18,,169.0,169.0,1970.0,6.0,18.0,,Moist soil of pine fir forest.,"U.S.A., Idaho, Teton County",,US,Idaho,Teton,,"Drake Creek, 6 miles west of Victor.",,,,,,,,,,,,False,False
fruits,PRESENT,1931-08-01,,213.0,213.0,1931.0,8.0,1.0,,"Slope: 30 N. <br/>Soil: Loam, gravelly small gravel. <br/>Type: woodland, timber, park, etc.: woodland. Weed, browse, grass: browse. Density in tenths: -. Principal associated plants in order of abundance: Fine grass. <br/>use: unused.","U.S.A., Idaho, Adams County",,US,Idaho,Adams,,Forest: Weiser N.F.<br/>Exact locality: Landore.,,4500 ft.,,,,,,,1996-01-01T00:00:00,1372.0,,False,True
fruits,PRESENT,1999-07-01,,182.0,182.0,1999.0,7.0,1.0,,"Moist mixed conifer forest; Abies grandis, Picea engelmannii, Pseudotsuga menziesii, Pinus contorta, and Larix occidentalis.","U.S.A., Idaho, Adams County",,US,Idaho,Adams,,"Payette National Forest and vicinity: Cow Camp Trail (181) from Forest Road 074 to Pollock Creek, ca 14 air mi NNW of New Meadows; ca 18 air mi S of Riggins.",,4550-4650 ft.,,,,,,,,1402.5,15.5,False,True
,PRESENT,2016-07-29,,211.0,211.0,2016.0,7.0,29.0,,"High rocky, granite peak with a large N aspect cliff and scree field. Patches of snow on N aspect.  N bowl dominated by Abies lasiocarpa, Saxifraga and Phyllodoce glandulifera. E and SW bowls dominated by Picea engelmannii, Pinus albicaulis, Abies lasiocarpa, Poa secunda, Juncus, Vaccinium scoparium, Phlox.","U.S.A., Idaho, Valley County",,US,Idaho,Valley,,"Rain Peak, Payette National Forest, on border of McCall and Krassel Ranger Districts. Six air mi to the E and 12 air mi to the N of McCall.  2 mi S along FS Tr 109 and 2 mi off trail to Rain Pk. Summit, while spiraling down to 8255 ft.",,8255-8755 ft.,,,,,,,2017-01-12T00:00:00,2593.0,76.0,False,True
,PRESENT,1976-08-17,,230.0,230.0,1976.0,8.0,17.0,,,"U.S.A., Idaho, Adams County",,US,Idaho,Adams,,MF of Weiser River.,,,,,,,,,,,,False,False
,PRESENT,1945-07-13,,194.0,194.0,1945.0,7.0,13.0,,Lodgepole forest.,"U.S.A., Montana, Meagher County",,US,Montana,Meagher,,"Harley Park, 6 mi. W Neihart, Little Belt Mts.",,,,,,,,,,,,False,False
,PRESENT,1984-06-12,,164.0,164.0,1984.0,6.0,12.0,,Douglas fir/ponderosa pine.,"U.S.A., Idaho, Boise County",,US,Idaho,Boise,,S of Tenmile campground N of Idaho City along Hwy 21.,,1500 ft.,,,,,,,,457.0,,False,True
,PRESENT,1984-06-12,,164.0,164.0,1984.0,6.0,12.0,,Douglas fir/ponderosa pine.,"U.S.A., Idaho, Boise County",,US,Idaho,Boise,,2 mi. NW of Centerville at head of Wet Gulch.,,1400 ft.,,,,,,,,427.0,,False,True
flowers,PRESENT,1902-07-18,,199.0,199.0,1902.0,7.0,18.0,,,"U.S.A., Montana, Park County",,US,Montana,Park,,"Porcupine Creek, Crazy Mountains.",,6000 ft.,,,,,,,2006-01-01T00:00:00,1829.0,,False,False
flowers,PRESENT,1907-07-01,,182.0,182.0,1907.0,7.0,1.0,,,"U.S.A., Montana, Gallatin County",,US,Montana,Gallatin,,Spanish Creek.,,,,,,,,,,,,False,False
fruits,PRESENT,1903-07-05,,186.0,186.0,1903.0,7.0,5.0,,,"U.S.A., Montana, Glacier County",,US,Montana,Glacier,,Midvale.,,,,,,,,,2006-01-01T00:00:00,,,False,False
flowers,PRESENT,,,,,,,,No date given.,,"U.S.A., Montana, Gallatin County",,US,Montana,Gallatin,,[No locality given].,,,,,,,,,2006-01-01T00:00:00,,,False,False
fruits,PRESENT,1908-08-20,,233.0,233.0,1908.0,8.0,20.0,,,"U.S.A., Montana, Carbon County",,US,Montana,Carbon,,[No locality given.],,8500 ft.,,,,,,,,2591.0,,False,False
fertile,PRESENT,1923-07-11,,192.0,192.0,1923.0,7.0,11.0,,,"U.S.A., Montana, Carbon County",,US,Montana,Carbon,,West Rosebud River.,,7000 ft.,,,,,,,2006-01-01T00:00:00,2134.0,,False,False
fruits,PRESENT,1921-07-31,,212.0,212.0,1921.0,7.0,31.0,,,"U.S.A., Montana, Powell County",,US,Montana,Powell,,"North Fork, about 15 miles out.",,,,,,,,,2006-01-01T00:00:00,,,False,False
fruits,PRESENT,1920-08-25,,238.0,238.0,1920.0,8.0,25.0,,,"U.S.A., Montana, Flathead County",,US,Montana,Flathead,,Glacier National Park. (prob. Flathead Co.),,,,,,,,,2006-01-01T00:00:00,,,False,False
fruits,PRESENT,1961-07-29,,210.0,210.0,1961.0,7.0,29.0,,Frequent understory of forest.,"U.S.A., Idaho, Lemhi County",,US,Idaho,Lemhi,,Lost Trail Pass along US 93.,,,,,,,,,,,,False,False
fruits,PRESENT,1977-08-17,,229.0,229.0,1977.0,8.0,17.0,,"Douglas-fir--Vaccinium globulare forest. Associated species: Xerophyllum tenax, Calamagrostis rubescens.",,,,,,,,,,,,,,,,1977-01-01T00:00:00,,,False,False
vegetative,PRESENT,1977-08-17,,229.0,229.0,1977.0,8.0,17.0,,"45% slope, west exposure. Shrubfield of former (cut and burned) Douglas fir with larch forest. Associated: Calamagrostis rubescens, Xerophyllum tenax, Ceanothus velutinus. Open grown habit, winter top kill.",,,,,,,,,,,,,,,,1977-01-01T00:00:00,,,False,False
fruits,PRESENT,1961-07-29,,210.0,210.0,1961.0,7.0,29.0,,A single colony of this plant found in the understory of forest.,"U.S.A., Idaho, Lemhi County",,US,Idaho,Lemhi,,[No locality given],,,,,,,,,2006-01-01T00:00:00,,,False,False
vegetative,PRESENT,1960-08-05,,218.0,218.0,1960.0,8.0,5.0,,Spruce.,"U.S.A., Montana, Lincoln County",,US,Montana,Lincoln,,"North of Libby, top of Zorgler Mountain.",,,,,,,,,2006-01-01T00:00:00,,,False,False
flowers and fruits,PRESENT,1889-05,,,,1889.0,5.0,,,,"U.S.A., Montana, Gallatin County",,US,Montana,Gallatin,,Mountains near Bozeman.,,,,,,,,,2006-01-01T00:00:00,,,False,False
,PRESENT,1994,,,,1994.0,,,,,,,US,,,,Montana,,,,,,,,,,,,False,False
,PRESENT,1980,,,,1980.0,,,,,,,US,,,,4 mi. E of Stevens Pass on U.S. 2 by turnoff in Spruce-Hemlock forest & alpine.,,,,,,,,,,,,False,False
,PRESENT,1978,,,,1978.0,,,,,,,US,,,,Willamette National Forest; Lost Prairie; along U.S. Hwy. 20 about 32 miles W of Sisters.,,,,,,,,,,,,False,False
,PRESENT,1966,,,,1966.0,,,,,,,US,,,,"""Sphinx glacier foreland, Garbildi park Locality Glacial moraines""",,,,,,,,,,,,False,False
,PRESENT,1991,,,,1991.0,,,,,,,US,,,,livingston,,,,,,,,,,,,False,False
,PRESENT,1992,,,,1992.0,,,,,,,US,,,,Stillwater  co.,,,,,,,,,,,,False,False
,PRESENT,1980,,,,1980.0,,,,,,,US,,,,"""11 mi. S of Lost Trail Pass on U.S. 93 N of North Fork at Twin Crk. Campgrd., Salmon Nat 1 Forest.""",,,,,,,,,,,,False,False
,PRESENT,1922-07-04,,185.0,185.0,1922.0,7.0,4.0,,dry hillsides.,,,US,Idaho,Latah,,Moscow Mts.,,,,,,,,,1922-01-01T00:00:00,,,False,False
,PRESENT,1986-06-14,,165.0,165.0,1986.0,6.0,14.0,,"0% slope, soil humus; shady, moist roadside in Abies lasiocarpa/Xerophyllum tenax habitat type Vaccinium globulare phase.",,,US,Idaho,Idaho,,"4 miles east of Lolo Pass on Packer Meadow Rd. (Forest Service rd. #373), Clearwater National Forest.",,5000 ft.,,,,,,,1986-01-01T00:00:00,1524.0,,False,True
,PRESENT,1925-08,,,,1925.0,8.0,,1925-8,,,,US,Washington,,,Cascade Mtns,,5500',,,,,,,,1676.0,,False,False
,PRESENT,,,,,,,,,,,,US,Washington,Chelan County,,"Chelan County, WA",,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,US,Idaho,Lemhi County,,"Lemhi County, ID",,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,US,Montana,Gallatin County,,"Gallatin County, MT",,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,US,Washington,Chelan County,,"Chelan County, WA",,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,US,Wyoming,Teton County,,"Teton County, WY",,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,"North America, Canada",NORTH_AMERICA,CA,,,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,NORTH_AMERICA,CA,,,,,,,,,,,,,,,,False,False
Flowers and Fruits,PRESENT,1899-07-07,,188.0,188.0,1899.0,7.0,7.0,07/07/1899,,,NORTH_AMERICA,US,Oregon,,,Local landmark: Grizzly Peak. Quad.,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,America;America;United States,,US,,,,,,,,,,,,,,,,False,False
fl,PRESENT,1983-08-05,,217.0,217.0,1983.0,8.0,5.0,5 Aug 1983,,,,US,Colorado,Routt,,Rainbow Lake. E slope of Park Range N-facing slope. Around Lake Shore,,ca 10000 ft,,,,,,,,3048.0,,False,True
fl,PRESENT,1945-07-13,,194.0,194.0,1945.0,7.0,13.0,13 Jul 1945,in lodgepole forest,,,US,Montana,Meagher,,"Harley park, ca 6 mi W of Neihart, Little Belt Mts",,,,,,,,,,,,False,True
,PRESENT,1929-08-21,,233.0,233.0,1929.0,8.0,21.0,,,"United States, Washington",NORTH_AMERICA,US,Washington,,,Blewett Pass Region. Cascade Mountains.,,,,,,,,,,,,False,False
,PRESENT,1916-07-16,,198.0,198.0,1916.0,7.0,16.0,,,"United States, Washington, Okanogan",NORTH_AMERICA,US,Washington,Okanogan,,"Headwaters of Robinson Creek, Okanogan Forests.",,,,,,,,,,,,False,False
,PRESENT,1962-07-24,,205.0,205.0,1962.0,7.0,24.0,,,"United States, Oregon, Linn",NORTH_AMERICA,US,Oregon,Linn,,"Along US hwy 20, 2 mi. W of the Linn-Jefferson County line.",,,,,,,,,,,,False,False
,PRESENT,1925-08-21,,233.0,233.0,1925.0,8.0,21.0,,,"United States, Washington",NORTH_AMERICA,US,Washington,,,Cascade Mountain.,,,,,,,,,,,,False,False
,PRESENT,1997-08-29,,241.0,241.0,1997.0,8.0,29.0,29 Aug 1997,,,NORTH_AMERICA,US,Washington,Whatcom,,Mount Baker National Forest. Mount Baker Lodge-Austin Pass. Firs and mountain hemlock (Abies lasiocarpa-Abies amabilis-Tsuga mertensiana) forests growing on basaltic soils.,,1580 m.,,,,,,,,1580.0,,False,False
,PRESENT,1997-08-29,,241.0,241.0,1997.0,8.0,29.0,29- 8-1997,,,,US,,,,"WASHINGTON, Whatcom Co., Mount Baker National Forest",,,,,,,,,,1580.0,0.0,False,False
,PRESENT,1979-07-17,,198.0,198.0,1979.0,7.0,17.0,17 July 1979,"Wet area, shaded slope.",,,US,Wyoming,Lincoln,,"Open meadow in Upper Cabin Creek above Grey's River Valley, east slope of Salt River Range.",,7600 ft.,,,,,,,,2316.0,,False,True
,PRESENT,,,,,,,,,,,,US,Montana,Lake,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,US,Oregon,Wallowa,,,,,,,,,,,,,,False,False
Veg,PRESENT,1973-07-13,,194.0,194.0,1973.0,7.0,13.0,13 July 1973,"N-facing slope, very shallow soil, many large outcrops of granite; forest mixed: P. contorta primarily, Abies secondary, little P. engelmannii; V. myrtillus and scoparium also in stand. With Rubus parviflorus, Arnica cordifolia.",,,US,Colorado,Routt,,"About 2 miles up Fish Creek Trail, east of Steamboat Springs.",,"8300 ft, 2530 m",,,,,,,,2530.0,,False,False
,PRESENT,,,,,,,,,,,,US,Oregon,Baker,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,US,Idaho,Bear Lake,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,US,Montana,Beaverhead,,,,,,,,,,,,,,False,False
,PRESENT,1963-08-14,,226.0,226.0,1963.0,8.0,14.0,"Aug. 14, 1963",Lodgepole pine forest.,,,US,Wyoming,,,"Trail to Holly Lake, along Indian Paintbrush Canyon, Grand Teton National Park.",,,,,,,,,1970-01-01T00:00:00,,,False,False
,PRESENT,,,,,,,,,,,,US,Washington,Garfield,,,,,,,,,,,,,,False,False
,PRESENT,1968-09-19,,263.0,263.0,1968.0,9.0,19.0,,,,,ZZ,,,,Targhee Nat. forest Madison Co. Sdaks.,,,,,,,,,,,,False,False
,PRESENT,1928-08-01/1928-08-31,,214.0,244.0,1928.0,8.0,,,,,NORTH_AMERICA,US,,,,"Foot-hills Cascade Mountain, Washington.",,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,ZZ,,,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,ZZ,,,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,ZZ,,,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,ZZ,,,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,NORTH_AMERICA,CA,,,,,,,,,,,,,,,,False,False
,PRESENT,1924-08-17,,230.0,230.0,1924.0,8.0,17.0,,,"North America, United States, Oregon",NORTH_AMERICA,US,Oregon,,,"Siskiyou Mountains. Southwestern Oregon. On trail from lower to upper entrance to Oregon Caves, Josephine County.",,,,,,,,,,1250.0,,False,False
,PRESENT,1938-07-22,,203.0,203.0,1938.0,7.0,22.0,,under Pinus ponderosa,"North America, United States, Idaho",NORTH_AMERICA,US,Idaho,,,"Near Warm Lake, about 30 mile northeast of Cascade, Valley County.",,,,,,,,,,1524.0,,False,False
,PRESENT,1898-08-24,,236.0,236.0,1898.0,8.0,24.0,,,"North America, United States, Oregon",NORTH_AMERICA,US,Oregon,,,"Near summit of the Metolias Trail, Cascade Mts.",,,,,,,,,,1768.0,,False,False
,PRESENT,1923-08-27,,239.0,239.0,1923.0,8.0,27.0,,,"North America, United States, Oregon",NORTH_AMERICA,US,Oregon,,,"Siskiyou Mountains. Southwestern Oregon. Gulch near entrance to Oregon Caves, Josephine County.",,,,,,,,,,1250.0,,False,False
,PRESENT,1945-07-13,,194.0,194.0,1945.0,7.0,13.0,,,"North America, United States, Montana",NORTH_AMERICA,US,Montana,,,"Meagher Co: in lodgepole forest. Harley Park, ca. 6 mi. west of Neihart, Little Belt Mts.",,,,,,,,,,,,False,False
,PRESENT,1913-09-26,,269.0,269.0,1913.0,9.0,26.0,,,"North America, Canada, British Columbia",NORTH_AMERICA,CA,British Columbia,,,"Deep woods, Selkirk Mts.",,,,,,,,,,1402.0,,False,False
,PRESENT,,,,,,,,Transcribed d/m/y: 10/7/57,,"North America, United States, Idaho",NORTH_AMERICA,US,Idaho,,,Forest and Range Expt. Sta. St. Joe N.F. National Forest INT. County Shoshone. 5 miles E. Freezout Saddle.,,,,,,,,,,1829.0,,False,False
,PRESENT,1946-07-23,,204.0,204.0,1946.0,7.0,23.0,1946 Jul 23,in woods between .forestry experiment station and  Loup Lake,,NORTH_AMERICA,CA,British Columbia,,,Aleza Lake,Canada; British Columbia; Aleza Lake,,,,,,,,1946-01-01T00:00:00,,,False,False
,PRESENT,1939-08-30,,242.0,242.0,1939.0,8.0,30.0,1939 Aug 30,spruce-fir woods,,NORTH_AMERICA,CA,Alberta,,,Waterton Lakes National Park,Canada; Alberta; Waterton Lakes National Park,1829 m,,,,,,,,,,False,False
,PRESENT,,,,,,,,1938-1945,,,NORTH_AMERICA,CA,British Columbia,,,Hope-Princeton area,Canada; British Columbia; Hope-Princeton area,5000-6500 ft,,,,,,,1961-01-01T00:00:00,,,False,False
,PRESENT,1961-07-20,,201.0,201.0,1961.0,7.0,20.0,1961 Jul 20,dry peat bog near the highway,,NORTH_AMERICA,CA,British Columbia,,,"Alaska Highway, mile 355","Canada; British Columbia; Alaska Highway, mile 355",,,,,,,,1961-01-01T00:00:00,,,False,False
,PRESENT,1958-07-04,,185.0,185.0,1958.0,7.0,4.0,1958 Jul 04,dry sandy soil,,NORTH_AMERICA,CA,British Columbia,,,Makison Flats,Canada; British Columbia; Makison Flats,2100 ft,,,,,,,1964-01-01T00:00:00,,,False,False
,PRESENT,1958-07-04,,185.0,185.0,1958.0,7.0,4.0,1958 Jul 04,,,NORTH_AMERICA,CA,British Columbia,,,"Makison Flats, Arrow Park","Canada; British Columbia; Makison Flats, Arrow Park",2100 ft,,,,,,,1964-01-01T00:00:00,,,False,False
,PRESENT,1947-05-11,,131.0,131.0,1947.0,5.0,11.0,1947 May 11,,,NORTH_AMERICA,CA,British Columbia,,,Gray creek,Canada; British Columbia; Gray Creek,,,,,,,,1947-01-01T00:00:00,,,False,False
,PRESENT,1960-08-08,,221.0,221.0,1960.0,8.0,8.0,1960 Aug 08,logging road,,NORTH_AMERICA,CA,British Columbia,,,between Terrace and Lava lake,Canada; British Columbia; between Terrace and Lava lake,,,,,,,,1961-01-01T00:00:00,,,False,False
,PRESENT,1946-07-12,,193.0,193.0,1946.0,7.0,12.0,1946 Jul 12,,,NORTH_AMERICA,CA,British Columbia,,,"McBride, along trail to forest fire lookout station","Canada; British Columbia; McBride, along trail to forest fire lookout station",,,,,,,,1946-01-01T00:00:00,,,False,False
,PRESENT,1967-08-23,,235.0,235.0,1967.0,8.0,23.0,1967 Aug 23,Pinus contorta- Picea glauca community,,NORTH_AMERICA,CA,British Columbia,,,12 miles south of McLeod Lake,Canada; British Columbia; 12 miles south of McLeod Lake,2000-2500 ft,,,,,,,1967-01-01T00:00:00,,,False,False
,PRESENT,1954-06-13,,164.0,164.0,1954.0,6.0,13.0,1954 Jun 13,,,NORTH_AMERICA,US,Oregon,,,"above the government camp, Mt. hood","United States; Oregon; above the government camp, Mt. hood",,,,,,,,,,,False,False
,PRESENT,1957-08-08,,220.0,220.0,1957.0,8.0,8.0,1957 Aug 08,rocky grassy slope,,NORTH_AMERICA,CA,British Columbia,,,"Flathead, Commerce Creek","Canada; British Columbia; Flathead, Commerce Creek",5500 ft,,,,,,,1957-01-01T00:00:00,,,False,False
,PRESENT,1958-07-05,,186.0,186.0,1958.0,7.0,5.0,1958 Jul 05,,,NORTH_AMERICA,CA,British Columbia,,,"Arrow Park, Stevens Creek","Canada; British Columbia; Arrow Park, Stevens Creek",,,,,,,,1964-01-01T00:00:00,,,False,False
,PRESENT,1917-08-07,,219.0,219.0,1917.0,8.0,7.0,1917 Aug 07,,,NORTH_AMERICA,CA,British Columbia,,,Quesnel Dam,Canada; British Columbia; Quesnel Dam,,,,,,,,1958-01-01T00:00:00,,,False,False
,PRESENT,,,,,,,,1937 Jul,,,NORTH_AMERICA,CA,British Columbia,,,southern slope of Mount Waddington,Canada; British Columbia; southern slope of Mount Waddington,3000-5000 ft,,,,,,,1937-01-01T00:00:00,,,False,False
,PRESENT,1954-07-13,,194.0,194.0,1954.0,7.0,13.0,1954 Jul 13,on rocky knoll in coniferous woods,,NORTH_AMERICA,CA,British Columbia,,,"slope of Hudson Bay Mountain above Sylvan Mine, ca. 9 miles west of Smithers","Canada; British Columbia; slope of Hudson Bay Mountain above Sylvan Mine, ca. 9 miles west of Smithers",3900 ft,,,,,,,1954-01-01T00:00:00,,,False,False
,PRESENT,1954-06-13,,164.0,164.0,1954.0,6.0,13.0,1954 Jun 13,,,NORTH_AMERICA,US,Oregon,,,"Mt. hood, wapinilia pass","United States; Oregon; Mt. hood, wapinilia pass",,,,,,,,,,,False,False
,PRESENT,1961-07-29,,210.0,210.0,1961.0,7.0,29.0,1961 Jul 29,"open, moist forest beside the highway",,NORTH_AMERICA,CA,British Columbia,,,"mile 195, Alaska Highway","Canada; British Columbia; mile 195, Alaska Highway",,,,,,,,,,,False,False
,PRESENT,1958-07-26,,207.0,207.0,1958.0,7.0,26.0,1958 Jul 26,edge of stream bed on rocky,,NORTH_AMERICA,CA,British Columbia,,,"Wells area, Lowhee Ditch","Canada; British Columbia; Wells area, Lowhee ditch",4900 ft,,,,,,,1961-01-01T00:00:00,,,False,False
,PRESENT,1967-06-06,,157.0,157.0,1967.0,6.0,6.0,1967 Jun 06,,,NORTH_AMERICA,CA,British Columbia,,,1.7 miles south of Lakeview,Canada; British Columbia; 1.7 miles south of Lakeview,2000-2500 ft,,,,,,,1967-01-01T00:00:00,,,False,False
,PRESENT,1934-08-20,,232.0,232.0,1934.0,8.0,20.0,1934 Aug 20,woods,,NORTH_AMERICA,CA,Alberta,,,"Cameron Lake, Waterton Lakes National Park","Canada; Alberta; Cameron Lake, Waterton Lakes National Park",,,,,,,,1957-01-01T00:00:00,,,False,False
,PRESENT,1938-06-27,,178.0,178.0,1938.0,6.0,27.0,1938 Jun 27,,,NORTH_AMERICA,CA,British Columbia,,,Yale,Canada; British Columbia; Yale,,,,,,,,1938-01-01T00:00:00,,,False,False
,PRESENT,1937-08-12,,224.0,224.0,1937.0,8.0,12.0,1937 Aug 12,,,NORTH_AMERICA,CA,British Columbia,,,"Snow Mountain, west of Summerland","Canada; British Columbia; Snow Mountain, west of Summerland",,,,,,,,1958-01-01T00:00:00,,,False,False
,PRESENT,1958-08-03,,215.0,215.0,1958.0,8.0,3.0,1958 Aug 03,Pinus-Picea woods,,NORTH_AMERICA,CA,British Columbia,,,"Wells area, Two Sisters Trail","Canada; British Columbia; Wells area, Two Sisters Trail",4300 ft,,,,,,,1961-01-01T00:00:00,,,False,False
,PRESENT,1961-08-02,,214.0,214.0,1961.0,8.0,2.0,1961 Aug 02,woodland Pinus albicaulis,,NORTH_AMERICA,CA,British Columbia,,,"Lillooet area, up Blue Creek, road to Elisabeth Mine","Canada; British Columbia; Lillooet area, up Blue Creek, road to Elisabeth Mine",5600 ft,,,,,,,1961-01-01T00:00:00,,,False,False
,PRESENT,1950-07-10,,191.0,191.0,1950.0,7.0,10.0,1950 Jul 10,,,NORTH_AMERICA,CA,British Columbia,,,"North Okanagan Regional District, Lumby, Trinity Valley Station","Canada; British Columbia; North Okanagan Regional District, Lumby, Trinity Valley Station",2100 ft,,,,,,,,,,False,False
,PRESENT,1967-08-22,,234.0,234.0,1967.0,8.0,22.0,1967 Aug 22,Pinus contorta -Lichen community,,NORTH_AMERICA,CA,British Columbia,,,one mile north of Parsnip River along the Hart Highway,Canada; British Columbia; one mile north of Parsnip River along the Hart Highway,2000-2500 ft,,,,,,,1967-01-01T00:00:00,,,False,False
,PRESENT,1967-08-22,,234.0,234.0,1967.0,8.0,22.0,1967 Aug 22,Picea glauca-Abies lasiocarpa community,,NORTH_AMERICA,CA,British Columbia,,,near Trappers Creek along the Hart Highway,Canada; British Columbia; near Trappers Creek along the Hart Highway,2000-2500 ft,,,,,,,1967-01-01T00:00:00,,,False,False
,PRESENT,1970-07-31,,212.0,212.0,1970.0,7.0,31.0,1970 Jul 31,under Abies lasiocarpa & Picea engelmannii,,NORTH_AMERICA,CA,Alberta,,,"outpost lake trail, Jasper National Park","Canada; Alberta; outpost lake trail, Jasper National Park",2042 m,,,,,,,,,,False,False
,PRESENT,1949-08-15,,227.0,227.0,1949.0,8.0,15.0,1949 Aug 15,field,,NORTH_AMERICA,CA,British Columbia,,,Burges Pass,Canada; British Columbia; Burges Pass,,,,,,,,1949-01-01T00:00:00,,,False,False
,PRESENT,1952-07-27,,209.0,209.0,1952.0,7.0,27.0,1952 Jul 27,dry course textured soil,,NORTH_AMERICA,CA,British Columbia,,,north of William's Creek near Lakelse,Canada; British Columbia; north of William's Creek near Lakelse,300 ft,,,,,,,1952-01-01T00:00:00,,,False,False
,PRESENT,1956-08-12,,225.0,225.0,1956.0,8.0,12.0,1956 Aug 12,"sunny mountainside with schurbs, Erica",,NORTH_AMERICA,CA,British Columbia,,,Dam Mountain,Canada; British Columbia; Dam Mountain,4390 ft,,,,,,,1956-01-01T00:00:00,,,False,False
